week_start_date,channel,campaign,impressions,clicks,conversions,spend,revenue,roas,roi_pct
2024-01-29,Paid Social,Social - Prospecting,62311,605,28,1691.27,4112.29,2.431,143.15
2024-01-29,Paid Social,Social - Retargeting,40101,741,40,1319.91,4333.13,3.283,228.29
2024-02-05,Affiliate,Affiliate - Partner A,5958,89,6,277.41,484.07,1.745,74.5
2024-02-05,Affiliate,Affiliate - Partner B,12776,465,5,274.49,814.99,2.969,196.91
2024-02-05,Display,Display - Banner,7004,211,16,731.43,954.2,1.305,30.46
2024-02-05,Display,Display - Native,18667,173,8,406.63,907.22,2.231,123.11
2024-02-05,Email,Email - Newsletter,3718,126,3,221.52,1242.26,5.608,460.79
2024-02-05,Email,Email - Promo,3499,130,8,164.64,774.77,4.706,370.58
2024-02-05,Organic/SEO,SEO - Blog,44818,535,39,172.25,1082.5,6.284,528.45
2024-02-05,Organic/SEO,SEO - Landing Pages,840184,5720,299,296.88,1835.01,6.181,518.1
2024-02-05,Paid Search,Search - Brand,28294,898,59,1773.13,3642.64,2.054,105.44
2024-02-05,Paid Search,Search - Competitor,18005,578,32,949.11,3211.96,3.384,238.42
2024-02-05,Paid Search,Search - Generic,54185,498,9,1636.66,3548.9,2.168,116.84
2024-02-05,Paid Social,Social - Lookalike,14537,549,35,1136.65,3738.3,3.289,228.89
2024-02-05,Paid Social,Social - Prospecting,26885,389,13,1067.09,2710.12,2.54,153.97
2024-02-05,Paid Social,Social - Retargeting,35615,1345,54,1040.22,2401.33,2.308,130.85
2024-02-12,Affiliate,Affiliate - Partner A,20044,387,9,627.69,1812.18,2.887,188.71
2024-02-12,Affiliate,Affiliate - Partner B,74933,1472,63,611.81,1432.44,2.341,134.13
2024-02-12,Display,Display - Banner,12183,305,6,712.7,1048.49,1.471,47.12
2024-02-12,Display,Display - Native,18140,535,29,1151.42,1338.97,1.163,16.29
2024-02-12,Email,Email - Newsletter,7679,147,6,285.15,1677.64,5.883,488.34
2024-02-12,Email,Email - Promo,4277,67,2,79.8,444.44,5.569,456.94
2024-02-12,Organic/SEO,SEO - Blog,22860,676,37,167.68,896.33,5.345,434.55
2024-02-12,Organic/SEO,SEO - Landing Pages,37489,908,36,295.73,2141.97,7.243,624.3
2024-02-12,Paid Search,Search - Brand,102240,716,47,2162.52,5317.44,2.459,145.89
2024-02-12,Paid Search,Search - Competitor,14170,493,10,1143.03,4431.29,3.877,287.68
2024-02-12,Paid Search,Search - Generic,27323,938,12,2377.25,7842.3,3.299,229.89
2024-02-12,Paid Social,Social - Lookalike,234950,2684,210,1593.41,4711.68,2.957,195.7
2024-02-12,Paid Social,Social - Prospecting,46772,1396,109,1628.47,3040.55,1.867,86.71
2024-02-12,Paid Social,Social - Retargeting,98730,640,46,1456.16,3838.0,2.636,163.57
2024-02-19,Affiliate,Affiliate - Partner A,56739,643,47,503.65,1854.62,3.682,268.24
2024-02-19,Affiliate,Affiliate - Partner B,8439,187,9,231.25,489.58,2.117,111.71
2024-02-19,Display,Display - Banner,12167,226,12,579.87,861.71,1.486,48.6
2024-02-19,Display,Display - Native,14536,156,3,309.65,500.49,1.616,61.63
2024-02-19,Email,Email - Newsletter,3608,124,9,259.08,1846.96,7.129,612.89
2024-02-19,Email,Email - Promo,6921,54,3,85.4,589.59,6.904,590.39
2024-02-19,Organic/SEO,SEO - Blog,53091,1833,100,247.99,1377.86,5.556,455.61
2024-02-19,Organic/SEO,SEO - Landing Pages,132076,929,33,294.74,1826.19,6.196,519.59
2024-02-19,Paid Search,Search - Brand,31184,960,69,1864.22,8386.82,4.499,349.88
2024-02-19,Paid Search,Search - Competitor,106841,742,21,2223.55,7855.34,3.533,253.28
2024-02-19,Paid Search,Search - Generic,36489,1204,38,2365.8,7503.39,3.172,217.16
2024-02-19,Paid Social,Social - Lookalike,5697,227,14,767.54,476.86,0.621,-37.87
2024-02-19,Paid Social,Social - Prospecting,26392,818,9,1067.78,2364.92,2.215,121.48
2024-02-19,Paid Social,Social - Retargeting,113526,1178,61,1758.04,2642.27,1.503,50.3
2024-02-26,Affiliate,Affiliate - Partner A,7724,303,11,542.79,1794.63,3.306,230.63
2024-02-26,Affiliate,Affiliate - Partner B,10976,363,27,755.58,2672.66,3.537,253.72
2024-02-26,Display,Display - Banner,9764,378,24,985.29,1424.12,1.445,44.54
2024-02-26,Display,Display - Native,19996,408,19,1080.12,1712.81,1.586,58.58
2024-02-26,Email,Email - Newsletter,4042,61,3,213.53,1518.44,7.111,611.11
2024-02-26,Email,Email - Promo,53006,341,21,237.5,1205.57,5.076,407.61
2024-02-26,Organic/SEO,SEO - Blog,286526,1921,33,346.77,2440.47,7.038,603.77
2024-02-26,Organic/SEO,SEO - Landing Pages,26720,943,58,302.59,1449.87,4.792,379.15
2024-02-26,Paid Search,Search - Brand,26084,571,36,1717.2,6064.01,3.531,253.13
2024-02-26,Paid Search,Search - Competitor,23580,875,47,1379.0,3799.97,2.756,175.56
2024-02-26,Paid Search,Search - Generic,27397,700,48,2248.43,7097.06,3.156,215.65
2024-02-26,Paid Social,Social - Lookalike,17220,460,19,1584.25,3982.66,2.514,151.39
2024-02-26,Paid Social,Social - Prospecting,158294,929,69,848.51,2494.71,2.94,194.01
2024-02-26,Paid Social,Social - Retargeting,105403,554,16,1227.49,3084.42,2.513,151.28
2024-03-04,Affiliate,Affiliate - Partner A,6907,214,10,427.74,1343.55,3.141,214.1
2024-03-04,Affiliate,Affiliate - Partner B,37636,613,12,657.41,1671.83,2.543,154.31
2024-03-04,Display,Display - Banner,14175,525,23,817.38,496.75,0.608,-39.23
2024-03-04,Display,Display - Native,67692,817,9,420.93,828.03,1.967,96.71
2024-03-04,Email,Email - Newsletter,5884,116,8,163.32,927.23,5.677,467.74
2024-03-04,Email,Email - Promo,5385,196,5,237.99,1094.18,4.598,359.76
2024-03-04,Organic/SEO,SEO - Blog,44897,1469,95,362.29,2522.31,6.962,596.21
2024-03-04,Organic/SEO,SEO - Landing Pages,20306,581,38,231.52,1678.54,7.25,625.01
2024-03-04,Paid Search,Search - Brand,76850,2057,144,2161.48,7177.89,3.321,232.08
2024-03-04,Paid Search,Search - Competitor,62845,2190,75,2322.58,9014.68,3.881,288.13
2024-03-04,Paid Search,Search - Generic,54172,327,12,807.65,2693.07,3.334,233.45
2024-03-04,Paid Social,Social - Lookalike,71895,1386,27,1730.4,6284.14,3.632,263.16
2024-03-04,Paid Social,Social - Prospecting,43349,819,23,1794.68,3870.83,2.157,115.68
2024-03-04,Paid Social,Social - Retargeting,189893,3222,194,1841.18,3188.86,1.732,73.2
2024-03-11,Affiliate,Affiliate - Partner A,77644,900,10,296.74,901.81,3.039,203.91
2024-03-11,Affiliate,Affiliate - Partner B,10352,258,13,277.44,492.83,1.776,77.63
2024-03-11,Display,Display - Banner,9664,161,6,301.11,366.07,1.216,21.57
2024-03-11,Display,Display - Native,54275,884,23,1002.52,893.33,0.891,-10.89
2024-03-11,Email,Email - Newsletter,9893,164,12,169.97,777.97,4.577,357.71
2024-03-11,Email,Email - Promo,2337,24,0,62.14,272.2,4.38,338.04
2024-03-11,Organic/SEO,SEO - Blog,38133,1017,21,354.83,2348.56,6.619,561.88
2024-03-11,Organic/SEO,SEO - Landing Pages,64239,2387,99,331.88,1801.53,5.428,442.83
2024-03-11,Paid Search,Search - Brand,105973,2615,44,2334.34,6961.69,2.982,198.23
2024-03-11,Paid Search,Search - Competitor,413962,5635,82,2431.62,6776.07,2.787,178.66
2024-03-11,Paid Search,Search - Generic,48823,984,12,1909.97,5706.25,2.988,198.76
2024-03-11,Paid Social,Social - Lookalike,422753,3772,265,1151.78,3211.73,2.788,178.85
2024-03-11,Paid Social,Social - Prospecting,140190,951,16,1237.16,2819.9,2.279,127.93
2024-03-11,Paid Social,Social - Retargeting,36665,449,13,1138.31,3448.51,3.029,202.95
2024-03-18,Affiliate,Affiliate - Partner A,10080,318,25,674.33,2389.6,3.544,254.37
2024-03-18,Affiliate,Affiliate - Partner B,44155,1451,67,493.49,1484.72,3.009,200.86
2024-03-18,Display,Display - Banner,7259,260,12,826.17,1077.8,1.305,30.46
2024-03-18,Display,Display - Native,72104,1861,57,859.61,1065.55,1.24,23.96
2024-03-18,Email,Email - Newsletter,23288,602,15,215.91,801.74,3.713,271.33
2024-03-18,Email,Email - Promo,4882,119,4,268.47,1487.03,5.539,453.89
2024-03-18,Organic/SEO,SEO - Blog,32668,615,35,222.39,1277.92,5.746,474.63
2024-03-18,Organic/SEO,SEO - Landing Pages,107393,1287,90,144.81,743.26,5.133,413.27
2024-03-18,Paid Search,Search - Brand,37447,1253,40,1825.82,7472.32,4.093,309.26
2024-03-18,Paid Search,Search - Competitor,116833,662,14,932.78,3143.84,3.37,237.04
2024-03-18,Paid Search,Search - Generic,111590,2175,70,2158.66,7385.36,3.421,242.13
2024-03-18,Paid Social,Social - Lookalike,750498,4188,333,1310.21,2120.46,1.618,61.84
2024-03-18,Paid Social,Social - Prospecting,37638,606,43,1615.26,5506.57,3.409,240.91
2024-03-18,Paid Social,Social - Retargeting,64357,1883,41,1431.36,3445.62,2.407,140.72
2024-03-25,Affiliate,Affiliate - Partner A,10025,224,3,537.04,1751.9,3.262,226.21
2024-03-25,Affiliate,Affiliate - Partner B,3839,137,10,376.71,1050.84,2.79,178.95
2024-03-25,Display,Display - Banner,25433,478,9,720.88,1199.14,1.663,66.34
2024-03-25,Display,Display - Native,8380,322,8,446.58,656.47,1.47,47.0
2024-03-25,Email,Email - Newsletter,1561,23,0,74.73,406.65,5.442,444.16
2024-03-25,Email,Email - Promo,3764,53,0,96.44,491.17,5.093,409.3
2024-03-25,Organic/SEO,SEO - Blog,137081,1030,20,395.37,2042.75,5.167,416.67
2024-03-25,Organic/SEO,SEO - Landing Pages,65861,2279,121,191.34,1144.67,5.982,498.24
2024-03-25,Paid Search,Search - Brand,42481,1303,93,2351.39,6158.2,2.619,161.9
2024-03-25,Paid Search,Search - Competitor,15696,554,36,1768.89,4662.99,2.636,163.61
2024-03-25,Paid Search,Search - Generic,17652,540,34,1444.39,4537.11,3.141,214.12
2024-03-25,Paid Social,Social - Lookalike,34609,902,68,1452.24,4227.14,2.911,191.08
2024-03-25,Paid Social,Social - Prospecting,47505,276,21,739.81,2409.18,3.256,225.65
2024-03-25,Paid Social,Social - Retargeting,19083,359,11,1128.0,3894.1,3.452,245.22
2024-04-01,Affiliate,Affiliate - Partner A,17578,374,14,841.79,2814.27,3.343,234.32
2024-04-01,Affiliate,Affiliate - Partner B,4904,165,10,572.32,1755.83,3.068,206.79
2024-04-01,Display,Display - Banner,4377,141,6,445.13,424.3,0.953,-4.68
2024-04-01,Display,Display - Native,18159,367,7,741.55,913.67,1.232,23.21
2024-04-01,Email,Email - Newsletter,1146,44,0,81.42,484.31,5.948,494.83
2024-04-01,Email,Email - Promo,27925,169,3,188.6,820.25,4.349,334.92
2024-04-01,Organic/SEO,SEO - Blog,38115,646,8,240.63,1694.55,7.042,604.21
2024-04-01,Organic/SEO,SEO - Landing Pages,24169,756,49,202.72,1199.93,5.919,491.91
2024-04-01,Paid Search,Search - Brand,146075,1550,107,1722.02,5158.84,2.996,199.58
2024-04-01,Paid Search,Search - Competitor,57306,2175,40,2092.03,6540.27,3.126,212.63
2024-04-01,Paid Search,Search - Generic,79860,1437,55,1793.19,4965.06,2.769,176.88
2024-04-01,Paid Social,Social - Lookalike,66597,912,24,1824.41,3324.53,1.822,82.22
2024-04-01,Paid Social,Social - Prospecting,46698,1617,36,1854.57,3029.98,1.634,63.38
2024-04-01,Paid Social,Social - Retargeting,36371,1086,75,1179.0,3222.62,2.733,173.34
2024-04-08,Affiliate,Affiliate - Partner A,41347,493,31,664.04,2051.5,3.089,208.94
2024-04-08,Affiliate,Affiliate - Partner B,34530,329,9,802.44,1907.78,2.377,137.75
2024-04-08,Display,Display - Banner,16062,613,21,778.27,861.45,1.107,10.69
2024-04-08,Display,Display - Native,15202,459,20,964.66,1211.72,1.256,25.61
2024-04-08,Email,Email - Newsletter,6830,116,4,276.77,1750.23,6.324,532.38
2024-04-08,Email,Email - Promo,9484,269,15,160.01,880.53,5.503,450.3
2024-04-08,Organic/SEO,SEO - Blog,13401,494,11,141.6,1025.7,7.244,624.36
2024-04-08,Organic/SEO,SEO - Landing Pages,25956,684,19,262.62,1042.72,3.97,297.05
2024-04-08,Paid Search,Search - Brand,24885,681,6,1160.32,3789.04,3.266,226.55
2024-04-08,Paid Search,Search - Competitor,18220,679,21,1058.96,3332.45,3.147,214.69
2024-04-08,Paid Search,Search - Generic,237224,4991,94,2488.73,7645.59,3.072,207.21
2024-04-08,Paid Social,Social - Lookalike,6626,207,16,656.36,1022.24,1.557,55.74
2024-04-08,Paid Social,Social - Prospecting,25779,670,28,1616.65,4951.49,3.063,206.28
2024-04-08,Paid Social,Social - Retargeting,77436,2225,154,1930.09,2859.57,1.482,48.16
2024-04-15,Affiliate,Affiliate - Partner A,165922,1631,106,853.03,3085.96,3.618,261.76
2024-04-15,Affiliate,Affiliate - Partner B,17948,160,10,389.44,1150.87,2.955,195.52
2024-04-15,Display,Display - Banner,26066,330,22,532.03,786.28,1.478,47.79
2024-04-15,Display,Display - Native,197798,3316,218,1074.51,1119.91,1.042,4.23
2024-04-15,Email,Email - Newsletter,10276,93,3,259.79,1408.75,5.423,442.26
2024-04-15,Email,Email - Promo,19092,378,20,299.65,1374.53,4.587,358.71
2024-04-15,Organic/SEO,SEO - Blog,27877,628,36,152.91,943.14,6.168,516.79
2024-04-15,Organic/SEO,SEO - Landing Pages,32024,739,12,295.81,1689.88,5.713,471.27
2024-04-15,Paid Search,Search - Brand,28648,544,31,1863.31,6936.67,3.723,272.28
2024-04-15,Paid Search,Search - Competitor,74649,1796,79,2391.09,8461.35,3.539,253.87
2024-04-15,Paid Search,Search - Generic,10243,270,11,839.49,2464.78,2.936,193.6
2024-04-15,Paid Social,Social - Lookalike,43164,1190,36,1272.85,2002.97,1.574,57.36
2024-04-15,Paid Social,Social - Prospecting,37164,1373,102,1485.08,2884.93,1.943,94.26
2024-04-15,Paid Social,Social - Retargeting,20873,663,42,1780.65,4740.99,2.663,166.25
2024-04-22,Affiliate,Affiliate - Partner A,5805,110,8,323.4,1102.64,3.41,240.95
2024-04-22,Affiliate,Affiliate - Partner B,9065,170,12,296.05,775.43,2.619,161.93
2024-04-22,Display,Display - Banner,4347,147,7,451.2,542.54,1.202,20.24
2024-04-22,Display,Display - Native,21509,663,18,1037.28,1921.75,1.853,85.27
2024-04-22,Email,Email - Newsletter,4138,88,3,238.08,1288.3,5.411,441.12
2024-04-22,Email,Email - Promo,4147,38,0,104.8,519.48,4.957,395.69
2024-04-22,Organic/SEO,SEO - Blog,262965,3347,187,392.68,1397.53,3.559,255.9
2024-04-22,Organic/SEO,SEO - Landing Pages,30969,752,51,186.73,875.99,4.691,369.12
2024-04-22,Paid Search,Search - Brand,73076,1545,61,2037.33,7511.29,3.687,268.68
2024-04-22,Paid Search,Search - Competitor,52933,1652,109,2196.09,8458.86,3.852,285.18
2024-04-22,Paid Search,Search - Generic,19041,620,42,887.41,3070.29,3.46,245.98
2024-04-22,Paid Social,Social - Lookalike,105716,2942,198,1210.84,2734.69,2.259,125.85
2024-04-22,Paid Social,Social - Prospecting,47333,1693,28,1287.76,2904.85,2.256,125.57
2024-04-22,Paid Social,Social - Retargeting,230569,1579,15,814.94,2127.99,2.611,161.12
2024-04-29,Affiliate,Affiliate - Partner A,6656,209,14,633.7,1458.98,2.302,130.23
2024-04-29,Affiliate,Affiliate - Partner B,67579,1287,42,568.24,1870.24,3.291,229.13
2024-04-29,Display,Display - Banner,120544,1476,58,911.57,1726.48,1.894,89.4
2024-04-29,Display,Display - Native,9251,150,5,458.52,577.3,1.259,25.91
2024-04-29,Email,Email - Newsletter,2085,55,1,63.82,496.62,7.782,678.16
2024-04-29,Email,Email - Promo,50119,439,7,272.09,1302.34,4.786,378.64
2024-04-29,Organic/SEO,SEO - Blog,105546,1157,90,384.59,2758.07,7.171,617.15
2024-04-29,Organic/SEO,SEO - Landing Pages,51793,1319,25,249.59,1648.24,6.604,560.38
2024-04-29,Paid Search,Search - Brand,168147,4381,192,2007.91,6011.93,2.994,199.41
2024-04-29,Paid Search,Search - Competitor,46078,738,36,1455.13,4922.86,3.383,238.31
2024-04-29,Paid Search,Search - Generic,13409,455,22,1242.31,3355.57,2.701,170.11
2024-04-29,Paid Social,Social - Lookalike,75719,1931,45,1909.76,5442.96,2.85,185.01
2024-04-29,Paid Social,Social - Prospecting,410227,5099,370,1547.31,4301.08,2.78,177.97
2024-04-29,Paid Social,Social - Retargeting,22239,477,20,1504.81,4164.98,2.768,176.78
2024-05-06,Affiliate,Affiliate - Partner A,26690,386,8,815.13,3180.44,3.902,290.18
2024-05-06,Affiliate,Affiliate - Partner B,9487,368,28,742.44,1362.68,1.835,83.54
2024-05-06,Display,Display - Banner,67834,464,35,1134.75,1770.32,1.56,56.01
2024-05-06,Display,Display - Native,58702,303,3,653.24,946.69,1.449,44.92
2024-05-06,Email,Email - Newsletter,18406,571,39,220.1,1290.6,5.864,486.37
2024-05-06,Email,Email - Promo,16844,548,18,174.1,1096.11,6.296,529.59
2024-05-06,Organic/SEO,SEO - Blog,38673,1382,50,356.69,1823.06,5.111,411.1
2024-05-06,Organic/SEO,SEO - Landing Pages,24077,596,46,130.33,943.21,7.237,623.71
2024-05-06,Paid Search,Search - Brand,60427,2134,109,1345.85,4722.72,3.509,250.91
2024-05-06,Paid Search,Search - Competitor,84766,1762,87,2385.73,7429.68,3.114,211.42
2024-05-06,Paid Search,Search - Generic,30853,838,62,1409.74,4136.9,2.935,193.45
2024-05-06,Paid Social,Social - Lookalike,23626,331,22,900.35,1919.28,2.132,113.17
2024-05-06,Paid Social,Social - Prospecting,37041,601,20,1246.55,3217.57,2.581,158.12
2024-05-06,Paid Social,Social - Retargeting,44838,1359,50,1130.03,3891.58,3.444,244.38
2024-05-13,Affiliate,Affiliate - Partner A,3821,95,3,309.03,838.06,2.712,171.19
2024-05-13,Affiliate,Affiliate - Partner B,9450,150,3,511.51,1717.73,3.358,235.82
2024-05-13,Display,Display - Banner,4412,120,4,372.66,582.53,1.563,56.32
2024-05-13,Display,Display - Native,8598,342,26,687.97,1015.17,1.476,47.56
2024-05-13,Email,Email - Newsletter,1283,47,0,60.1,286.54,4.768,376.77
2024-05-13,Email,Email - Promo,59206,420,28,283.97,1194.98,4.208,320.81
2024-05-13,Organic/SEO,SEO - Blog,63299,2238,133,185.81,956.48,5.148,414.76
2024-05-13,Organic/SEO,SEO - Landing Pages,26618,1012,19,349.01,2615.81,7.495,649.49
2024-05-13,Paid Search,Search - Brand,62905,1234,22,1832.26,6992.73,3.816,281.65
2024-05-13,Paid Search,Search - Competitor,16155,471,10,840.75,2848.48,3.388,238.8
2024-05-13,Paid Search,Search - Generic,113670,1777,126,2151.08,6157.34,2.862,186.24
2024-05-13,Paid Social,Social - Lookalike,13808,460,35,735.53,2152.11,2.926,192.59
2024-05-13,Paid Social,Social - Prospecting,105101,673,28,1535.66,3665.08,2.387,138.66
2024-05-13,Paid Social,Social - Retargeting,153665,1782,60,1331.15,1925.72,1.447,44.67
2024-05-20,Affiliate,Affiliate - Partner A,21475,650,14,671.0,2222.5,3.312,231.22
2024-05-20,Affiliate,Affiliate - Partner B,59283,1329,61,855.67,2083.99,2.436,143.55
2024-05-20,Display,Display - Banner,14938,402,9,811.71,1138.31,1.402,40.24
2024-05-20,Display,Display - Native,8688,332,11,1020.53,2236.89,2.192,119.19
2024-05-20,Email,Email - Newsletter,1102,42,1,72.64,561.45,7.729,672.92
2024-05-20,Email,Email - Promo,16886,274,15,242.69,1283.97,5.291,429.06
2024-05-20,Organic/SEO,SEO - Blog,28792,634,27,252.46,1507.69,5.972,497.2
2024-05-20,Organic/SEO,SEO - Landing Pages,67725,879,48,226.53,1570.47,6.933,593.27
2024-05-20,Paid Search,Search - Brand,28934,1055,82,2152.84,7487.66,3.478,247.8
2024-05-20,Paid Search,Search - Competitor,82829,2675,110,1465.56,5604.86,3.824,282.44
2024-05-20,Paid Search,Search - Generic,61278,1135,40,1998.23,3529.82,1.766,76.65
2024-05-20,Paid Social,Social - Lookalike,162959,1176,27,930.9,2053.2,2.206,120.56
2024-05-20,Paid Social,Social - Prospecting,438681,4612,112,1902.96,6253.96,3.286,228.64
2024-05-20,Paid Social,Social - Retargeting,26690,1008,79,1966.03,5429.37,2.762,176.16
2024-05-27,Affiliate,Affiliate - Partner A,5935,199,8,536.79,1643.33,3.061,206.14
2024-05-27,Affiliate,Affiliate - Partner B,47617,532,22,774.39,2003.89,2.588,158.77
2024-05-27,Display,Display - Banner,15569,162,3,545.33,1166.13,2.138,113.84
2024-05-27,Display,Display - Native,5661,179,10,562.2,857.54,1.525,52.53
2024-05-27,Email,Email - Newsletter,5019,51,1,93.8,598.26,6.378,537.8
2024-05-27,Email,Email - Promo,2055,61,0,127.08,696.06,5.477,447.73
2024-05-27,Organic/SEO,SEO - Blog,43416,694,20,217.62,864.25,3.971,297.14
2024-05-27,Organic/SEO,SEO - Landing Pages,49764,892,23,139.27,996.86,7.158,615.78
2024-05-27,Paid Search,Search - Brand,13521,492,21,886.42,3867.35,4.363,336.29
2024-05-27,Paid Search,Search - Competitor,47295,812,45,1884.49,8197.14,4.35,334.98
2024-05-27,Paid Search,Search - Generic,11742,380,15,902.56,3118.3,3.455,245.5
2024-05-27,Paid Social,Social - Lookalike,10881,339,24,783.62,2409.65,3.075,207.5
