channel,week_start_date,weekly_spend,weekly_revenue,roas
Paid Social,2024-01-29,3984.2299999999996,10563.61,2.65
Paid Social,2024-02-05,3243.96,8849.75,2.73
Paid Social,2024-02-12,4678.04,11590.23,2.48
Paid Social,2024-02-19,3593.3599999999997,5484.05,1.53
Paid Social,2024-02-26,3660.25,9561.79,2.61
Paid Social,2024-03-04,5366.26,13343.830000000002,2.49
Paid Social,2024-03-11,3527.25,9480.14,2.69
Paid Social,2024-03-18,4356.83,11072.65,2.54
Paid Social,2024-03-25,3320.05,10530.42,3.17
Paid Social,2024-04-01,4857.98,9577.130000000001,1.97
Paid Social,2024-04-08,4203.1,8833.3,2.1
Paid Social,2024-04-15,4538.58,9628.89,2.12
Paid Social,2024-04-22,3313.54,7767.53,2.34
Paid Social,2024-04-29,4961.879999999999,13909.02,2.8
Paid Social,2024-05-06,3276.9300000000003,9028.43,2.76
Paid Social,2024-05-13,3602.34,7742.910000000001,2.15
Paid Social,2024-05-20,4799.89,13736.529999999999,2.86
Paid Social,2024-05-27,3632.29,7567.04,2.08
Paid Social,2024-06-03,3931.42,10994.32,2.8
Paid Social,2024-06-10,3878.2,10667.0,2.75
Paid Social,2024-06-17,4015.4100000000003,7348.36,1.83
Paid Social,2024-06-24,4287.530000000001,7984.92,1.86
Paid Social,2024-07-01,4336.73,8869.869999999999,2.05
Paid Social,2024-07-08,3457.65,8472.619999999999,2.45
Paid Social,2024-07-15,4158.86,10868.04,2.61
Paid Social,2024-07-22,5629.07,12117.869999999999,2.15
Paid Social,2024-07-29,3907.8099999999995,10757.24,2.75
Paid Social,2024-08-05,4754.65,11918.09,2.51
Paid Social,2024-08-12,3699.44,8766.41,2.37
Paid Social,2024-08-19,4299.44,7032.530000000001,1.64
Paid Social,2024-08-26,3772.98,8362.84,2.22
Paid Social,2024-09-02,3773.2799999999997,7935.74,2.1
Paid Social,2024-09-09,3483.68,9775.37,2.81
Paid Social,2024-09-16,4623.139999999999,11696.17,2.53
Paid Social,2024-09-23,4227.1900000000005,9732.71,2.3
Paid Social,2024-09-30,4128.6,10566.630000000001,2.56
Paid Social,2024-10-07,3440.1099999999997,11623.41,3.38
Paid Social,2024-10-14,5430.83,13273.36,2.44
Paid Social,2024-10-21,4954.16,13503.349999999999,2.73
Paid Social,2024-10-28,4057.91,7965.6,1.96
Paid Social,2024-11-04,4296.62,8954.67,2.08
Paid Social,2024-11-11,3684.2400000000002,10303.58,2.8
Paid Social,2024-11-18,4530.53,7602.38,1.68
Paid Social,2024-11-25,6479.07,14943.58,2.31
Paid Social,2024-12-02,4981.3099999999995,13092.56,2.63
Paid Social,2024-12-09,4749.95,7148.530000000001,1.5
Paid Social,2024-12-16,5539.66,16433.18,2.97
Paid Social,2024-12-23,3714.1800000000003,8468.54,2.28
Paid Social,2024-12-30,5208.719999999999,13414.189999999999,2.58
